"String ID","Source text","Translation","Context","Path","Filename"
"478","Rear Steer","direction arrière","car","","str-r.wav"
"479","Four Wheel Steer","quatre roues directrices","car","","str-4w.wav"
"480","Mirror Steer","direction miroir","car","","str-mr.wav"
"481","Crab Steer","dérive latérale","car","","str-cr.wav"
"482","Motor armed","moteur armé","soaretx","","motarm.wav"
"483","Power","puissance","soaretx","","power.wav"
"484","Speed","vitesse","soaretx","","speed.wav"
"485","Thermal","thermique","soaretx","","therml.wav"
"486","Front wheel drive","transmission avant","car","","fwd.wav"
"487","Rear wheel drive","transmission arrière","car","","rwd.wav"
"488","All wheel drive","quatre roues motrices","car","","awd.wav"
"489","Throttle enabled","gaz activé","car","","thren.wav"
"490","Throttle disabled","gaz désactivé","car","","thrdis.wav"
"491","Winch enabled","treuil activé","car","","wchen.wav"
"492","Winch disabled","treuil désactivé","car","","wchdis.wav"
"493","Drift mode on","mode drift activé","car","","drifon.wav"
"494","Drift mode off","mode drift coupé","car","","drifof.wav"
"495","Gyro enabled","gyro activé","","","gyroon.wav"
"496","Gyro disabled","gyro désactivé","","","gyroof.wav"
"497","Launch control active","départ contrôlé actif","","","launch.wav"
"498","Wet mode enabled","mode pluie activé","","","wetmde.wav"
"499","Max gyro","gyro maximum","","","maxgyr.wav"
"500","Max assistance","assistance maximum","","","maxast.wav"
"501","Overheating","surchauffe","","","overht.wav"
"502","Motor overheating","surchauffe moteur","","","mothot.wav"
"503","Drift Mode Enabled","mode drift activé","","","drifen.wav"
"504","Drift Mode Disabled","mode drift désactivé","","","drifdb.wav"
"505","Screenshot","capture d'écran","","","screns.wav"
"506","Cell","cellule","","","cell.wav"
"507","Transmitter Battery Low","batterie émetteur faible","","","txbatl.wav"
"508","Left","gauche","","","left.wav"
"509","Right","droite","","","right.wav"
"510","Shift","report","","","shift.wav"
"511","Stability Control On","stabilité activée","","","sbcton.wav"
"512","Stability Control Off","stabilité coupée","","","sbctof.wav"
"513","Stability Control Enabled","stabilité activée","","","sbcten.wav"
"514","Stability Control Disabled","stabilité désactivée","","","sbctdb.wav"
"515","Thermal Warning","alerte thermique","","","thmwrn.wav"
"516","Servo Overload","surcharge servo","","","srvovl.wav"
"517","BEC Overload","surcharge bec","","","becovl.wav"
"518","Stability Control","contrôle de stabilité","","","sbct.wav"
"519","Stability Control - Standard","stabilité standard","","","sbctst.wav"
"520","Gyro","gyro","","","gyro.wav"
"521","Low","basse","","","low.wav"
"522","Medium","moyenne","","","medium.wav"
"523","High","haute","","","high.wav"
"524","Standard","standard","","","stanrd.wav"
"525","Bash Mode","mode bash","car","","bashmd.wav"
"526","Race Mode","mode course","car","","racemd.wav"
"527","Chill Mode","mode chill","car","","chilmd.wav"
"528","Trainer Mode","mode formateur","car","","trnmd.wav"
"529","Speed Mode","mode vitesse","car","","spdmd.wav"
"530","City Mode","mode ville","car","","citymd.wav"
"531","Cruise Mode","mode croisière","car","","crusmd.wav"
"532","Flaps Middle","vollets moyens","plane","","flapmd.wav"
"533","Flaps Full","vollets complets","plane","","flapfl.wav"
"534","Motor On","moteur allumé","","","moton.wav"
"535","Motor Off","moteur coupé","","","motoff.wav"
"536","Motor Idle","moteur au ralenti","","","motidl.wav"
"537","Autorotation","autorotation","heli","","autor.wav"
"538","Rescue On","rescue activé","","","reson.wav"
"539","High Temperature","température élevée","","","htemp.wav"
"540","High Vibration","vibration élevée","","","hvibr.wav"
"541","Glow On","moteur thermique activé","","","glwon.wav"
"542","Glow Off","moteur thermique coupé","","","glwoff.wav"
"543","Glow Activated","moteur thermique activé","","","glwact.wav"
"544","Glow Deactivated","moteur thermique désactivé","","","glwdea.wav"
"545","Track Mode","mode piste","Car","","trkmd.wav"
"546","Drag brake","frein moteur","Car","","dbrk.wav"
"547","Drag brake on","frein moteur activé","Car","","dbrkon.wav"
"548","Drag brake off","frein moteur coupé","Car","","dbrkof.wav"
"549","Drag brake Low","frein moteur bas","Car","","dbrklw.wav"
"550","Drag brake Medium","frein moteur moyen","Car","","dbrkmd.wav"
"551","Drag brake High","frein moteur haut","Car","","dbrkhi.wav"
"552","Snapflap On","vollets activés","Plane","","snapfon.wav"
"553","Snapflap Off","vollets coupés","Plane","","snapfof.wav"
"554","Snapflap Low","vollets bas","Plane","","snapflo.wav"
"555","Snapflap High","vollets hauts","Plane","","snapfhi.wav"
"556","Auto tune","réglage automatique","Plane","","autotun.wav"
"557","Auto level trim","trim automatique de niveau","Plane","","alvltrim.wav"
"558","Servo auto trim","trim servo automatique","Plane","","srvatrim.wav"
"559","open","ouvert","","","open.wav"
"560","close","fermé","","","close.wav"
"561","locked","verrouillé","","","locked.wav"
"562","unlocked","déverrouillé","","","unlckd.wav"
"563","canopy","capot","","","canopy.wav"
"564","bind","liaison","","","bind.wav"
"565","wings extending","ailes en déploiement","","","vgext.wav"
"566","wings extended","ailes déployées","","","vgextd.wav"
"567","wings folding","ailes en repli","","","vgfold.wav"
"568","wings folded","ailes repliées","","","vgfldd.wav"
